Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Algeria,2020,May,NA,Ambassador to the US,Madjid BOUGUERRA,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Permanent Representative to the UN, New York",Sofiane MIMOUMI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Andorra,2020,May,NA,Head of State (Co-Prince),Emmanuel MACRON,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Head of State (Co-Prince),"Joan-Enric VIVES i SICILIA, Bishop",Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Head of Govt.,Antoni MARTI Petit,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Civil Service & Admin. Reform,Eva DESCARREGA Garcia,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,"Min. of Culture, Youth, & Sports",Olga GELABERT FABREGA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Education & Higher Education,Eric JOVER COMAS,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,"Min. of Environment, Agriculture, & Sustainability",Silvia CALVO ARMENGOL,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Finance,Jordi CINCA Mateos,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Foreign Affairs,Gilbert SABOYA Sunye,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Health,Carles ALVAREZ MARFANY,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,"Min. of Social Affairs, Justice, & Interior",Xavier ESPOT Zamora,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Territorial Planning,Jordi TORRES FALCO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Min. of Tourism & Commerce,Francesc CAMP Torres,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,Ambassador to the US,Elisenda VIVES BALMANA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,May,NA,"Permanent Representative to the UN, New York",Elisenda VIVES BALMANA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Angola,2020,May,NA,Pres.,Joao Manuel Goncalves LOURENCO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Vice Pres.,Bornito De Sousa Baltazar DIOGO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Agriculture & Fisheries,Antonio Francisco de ASSIS,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Commerce,Victor Francisco dos Santos FERNANDES,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,"Min. of Culture, Tourism, & Environment",Adjany COSTA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
